"","Survived","Pclass","Sex","Age","SibSp","Parch","Ticket","Fare","Cabin","Embarked","Age.disc","primera","genero","FamilySize"
"306","1","1","male",0.92,1,2,"113781",32.0966808773903,"C22 C26","S","0-9",1,0,4
"307","1","1","female",29.6991176470588,0,0,"17421",32.0966808773903,"Sin camarote","C","20-29",1,1,1
"308","1","1","female",17,1,0,"PC 17758",32.0966808773903,"C65","C","10-19",1,1,2
"309","0","2","male",30,1,0,"P/PP 3381",24,"Sin camarote","C","20-29",0,0,2
"310","1","1","female",30,0,0,"PC 17485",56.9292,"E36","C","20-29",1,1,1
"311","1","1","female",24,0,0,"11767",32.0966808773903,"C54","C","20-29",1,1,1
"312","1","1","female",18,2,2,"PC 17608",32.0966808773903,"B57 B59 B63 B66","C","10-19",1,1,5
"313","0","2","female",26,1,1,"250651",26,"Sin camarote","S","20-29",0,1,3
"314","0","3","male",28,0,0,"349243",7.8958,"Sin camarote","S","20-29",0,0,1
"315","0","2","male",43,1,1,"F.C.C. 13529",26.25,"Sin camarote","S","40-49",0,0,3
"316","1","3","female",26,0,0,"347470",7.8542,"Sin camarote","S","20-29",0,1,1
"317","1","2","female",24,1,0,"244367",26,"Sin camarote","S","20-29",0,1,2
"318","0","2","male",54,0,0,"29011",14,"Sin camarote","S","50-59",0,0,1
"319","1","1","female",31,0,2,"36928",32.0966808773903,"C7","S","30-39",1,1,3
"320","1","1","female",40,1,1,"16966",32.0966808773903,"E34","C","30-39",1,1,3
"321","0","3","male",22,0,0,"A/5 21172",7.25,"Sin camarote","S","20-29",0,0,1
"322","0","3","male",27,0,0,"349219",7.8958,"Sin camarote","S","20-29",0,0,1
"323","1","2","female",30,0,0,"234818",12.35,"Sin camarote","Q","20-29",0,1,1
"324","1","2","female",22,1,1,"248738",29,"Sin camarote","S","20-29",0,1,3
"325","0","3","male",29.6991176470588,8,2,"CA. 2343",32.0966808773903,"Sin camarote","S","20-29",0,0,11
"326","1","1","female",36,0,0,"PC 17760",32.0966808773903,"C32","C","30-39",1,1,1
"327","0","3","male",61,0,0,"345364",6.2375,"Sin camarote","S","60-69",0,0,1
"328","1","2","female",36,0,0,"28551",13,"D","S","30-39",0,1,1
"329","1","3","female",31,1,1,"363291",20.525,"Sin camarote","S","30-39",0,1,3
"330","1","1","female",16,0,1,"111361",57.9792,"B18","C","10-19",1,1,2
"331","1","3","female",29.6991176470588,2,0,"367226",23.25,"Sin camarote","Q","20-29",0,1,3
"332","0","1","male",45.5,0,0,"113043",28.5,"C124","S","40-49",1,0,1
"333","0","1","male",38,0,1,"PC 17582",32.0966808773903,"C91","S","30-39",1,0,2
"334","0","3","male",16,2,0,"345764",18,"Sin camarote","S","10-19",0,0,3
"335","1","1","female",29.6991176470588,1,0,"PC 17611",32.0966808773903,"Sin camarote","S","20-29",1,1,2
"336","0","3","male",29.6991176470588,0,0,"349225",7.8958,"Sin camarote","S","20-29",0,0,1
"337","0","1","male",29,1,0,"113776",32.0966808773903,"C2","S","20-29",1,0,2
"338","1","1","female",41,0,0,"16966",32.0966808773903,"E40","C","40-49",1,1,1
"339","1","3","male",45,0,0,"7598",8.05,"Sin camarote","S","40-49",0,0,1
"340","0","1","male",45,0,0,"113784",35.5,"T","S","40-49",1,0,1
"341","1","2","male",2,1,1,"230080",26,"F2","S","0-9",0,0,3
"342","1","1","female",24,3,2,"19950",32.0966808773903,"C23 C25 C27","S","20-29",1,1,6
"343","0","2","male",28,0,0,"248740",13,"Sin camarote","S","20-29",0,0,1
"344","0","2","male",25,0,0,"244361",13,"Sin camarote","S","20-29",0,0,1
"345","0","2","male",36,0,0,"229236",13,"Sin camarote","S","30-39",0,0,1
"346","1","2","female",24,0,0,"248733",13,"F33","S","20-29",0,1,1
"347","1","2","female",40,0,0,"31418",13,"Sin camarote","S","30-39",0,1,1
"348","1","3","female",29.6991176470588,1,0,"386525",16.1,"Sin camarote","S","20-29",0,1,2
"349","1","3","male",3,1,1,"C.A. 37671",15.9,"Sin camarote","S","0-9",0,0,3
"350","0","3","male",42,0,0,"315088",8.6625,"Sin camarote","S","40-49",0,0,1
"351","0","3","male",23,0,0,"7267",9.225,"Sin camarote","S","20-29",0,0,1
"352","0","1","male",29.6991176470588,0,0,"113510",35,"C128","S","20-29",1,0,1
"353","0","3","male",15,1,1,"2695",7.2292,"Sin camarote","C","10-19",0,0,3
"354","0","3","male",25,1,0,"349237",17.8,"Sin camarote","S","20-29",0,0,2
"355","0","3","male",29.6991176470588,0,0,"2647",7.225,"Sin camarote","C","20-29",0,0,1
"356","0","3","male",28,0,0,"345783",9.5,"Sin camarote","S","20-29",0,0,1
"357","1","1","female",22,0,1,"113505",55,"E33","S","20-29",1,1,2
"358","0","2","female",38,0,0,"237671",13,"Sin camarote","S","30-39",0,1,1
"359","1","3","female",29.6991176470588,0,0,"330931",7.8792,"Sin camarote","Q","20-29",0,1,1
"360","1","3","female",29.6991176470588,0,0,"330980",7.8792,"Sin camarote","Q","20-29",0,1,1
"361","0","3","male",40,1,4,"347088",27.9,"Sin camarote","S","30-39",0,0,6
"362","0","2","male",29,1,0,"SC/PARIS 2167",27.7208,"Sin camarote","C","20-29",0,0,2
"363","0","3","female",45,0,1,"2691",14.4542,"Sin camarote","C","40-49",0,1,2
"364","0","3","male",35,0,0,"SOTON/O.Q. 3101310",7.05,"Sin camarote","S","30-39",0,0,1
"365","0","3","male",29.6991176470588,1,0,"370365",15.5,"Sin camarote","Q","20-29",0,0,2
"366","0","3","male",30,0,0,"C 7076",7.25,"Sin camarote","S","20-29",0,0,1
"367","1","1","female",60,1,0,"110813",32.0966808773903,"D37","C","50-59",1,1,2
"368","1","3","female",29.6991176470588,0,0,"2626",7.2292,"Sin camarote","C","20-29",0,1,1
"369","1","3","female",29.6991176470588,0,0,"14313",7.75,"Sin camarote","Q","20-29",0,1,1
"370","1","1","female",24,0,0,"PC 17477",32.0966808773903,"B35","C","20-29",1,1,1
"371","1","1","male",25,1,0,"11765",55.4417,"E50","C","20-29",1,0,2
"372","0","3","male",18,1,0,"3101267",6.4958,"Sin camarote","S","10-19",0,0,2
"373","0","3","male",19,0,0,"323951",8.05,"Sin camarote","S","10-19",0,0,1
"374","0","1","male",22,0,0,"PC 17760",32.0966808773903,"Sin camarote","C","20-29",1,0,1
"375","0","3","female",3,3,1,"349909",21.075,"Sin camarote","S","0-9",0,1,5
"376","1","1","female",29.6991176470588,1,0,"PC 17604",32.0966808773903,"Sin camarote","C","20-29",1,1,2
"377","1","3","female",22,0,0,"C 7077",7.25,"Sin camarote","S","20-29",0,1,1
"378","0","1","male",27,0,2,"113503",32.0966808773903,"C82","C","20-29",1,0,3
"379","0","3","male",20,0,0,"2648",4.0125,"Sin camarote","C","10-19",0,0,1
"380","0","3","male",19,0,0,"347069",7.775,"Sin camarote","S","10-19",0,0,1
"381","1","1","female",42,0,0,"PC 17757",32.0966808773903,"Sin camarote","C","40-49",1,1,1
"382","1","3","female",1,0,2,"2653",15.7417,"Sin camarote","C","0-9",0,1,3
"383","0","3","male",32,0,0,"STON/O 2. 3101293",7.925,"Sin camarote","S","30-39",0,0,1
"384","1","1","female",35,1,0,"113789",52,"Sin camarote","S","30-39",1,1,2
"385","0","3","male",29.6991176470588,0,0,"349227",7.8958,"Sin camarote","S","20-29",0,0,1
"386","0","2","male",18,0,0,"S.O.C. 14879",32.0966808773903,"Sin camarote","S","10-19",0,0,1
"387","0","3","male",1,5,2,"CA 2144",46.9,"Sin camarote","S","0-9",0,0,8
"388","1","2","female",36,0,0,"27849",13,"Sin camarote","S","30-39",0,1,1
"389","0","3","male",29.6991176470588,0,0,"367655",7.7292,"Sin camarote","Q","20-29",0,0,1
"390","1","2","female",17,0,0,"SC 1748",12,"Sin camarote","C","10-19",0,1,1
"391","1","1","male",36,1,2,"113760",32.0966808773903,"B96 B98","S","30-39",1,0,4
"392","1","3","male",21,0,0,"350034",7.7958,"Sin camarote","S","20-29",0,0,1
"393","0","3","male",28,2,0,"3101277",7.925,"Sin camarote","S","20-29",0,0,3
"394","1","1","female",23,1,0,"35273",32.0966808773903,"D36","C","20-29",1,1,2
"395","1","3","female",24,0,2,"PP 9549",16.7,"G6","S","20-29",0,1,3
"396","0","3","male",22,0,0,"350052",7.7958,"Sin camarote","S","20-29",0,0,1
"397","0","3","female",31,0,0,"350407",7.8542,"Sin camarote","S","30-39",0,1,1
"398","0","2","male",46,0,0,"28403",26,"Sin camarote","S","40-49",0,0,1
"399","0","2","male",23,0,0,"244278",10.5,"Sin camarote","S","20-29",0,0,1
"400","1","2","female",28,0,0,"240929",12.65,"Sin camarote","S","20-29",0,1,1
"401","1","3","male",39,0,0,"STON/O 2. 3101289",7.925,"Sin camarote","S","30-39",0,0,1
"402","0","3","male",26,0,0,"341826",8.05,"Sin camarote","S","20-29",0,0,1
"403","0","3","female",21,1,0,"4137",9.825,"Sin camarote","S","20-29",0,1,2
"404","0","3","male",28,1,0,"STON/O2. 3101279",15.85,"Sin camarote","S","20-29",0,0,2
"405","0","3","female",20,0,0,"315096",8.6625,"Sin camarote","S","10-19",0,1,1
"406","0","2","male",34,1,0,"28664",21,"Sin camarote","S","30-39",0,0,2
"407","0","3","male",51,0,0,"347064",7.75,"Sin camarote","S","50-59",0,0,1
"408","1","2","male",3,1,1,"29106",18.75,"Sin camarote","S","0-9",0,0,3
"409","0","3","male",21,0,0,"312992",7.775,"Sin camarote","S","20-29",0,0,1
"410","0","3","female",29.6991176470588,3,1,"4133",25.4667,"Sin camarote","S","20-29",0,1,5
"411","0","3","male",29.6991176470588,0,0,"349222",7.8958,"Sin camarote","S","20-29",0,0,1
"412","0","3","male",29.6991176470588,0,0,"394140",6.8583,"Sin camarote","Q","20-29",0,0,1
"413","1","1","female",33,1,0,"19928",32.0966808773903,"C78","Q","30-39",1,1,2
"414","0","2","male",29.6991176470588,0,0,"239853",0,"Sin camarote","S","20-29",0,0,1
"415","1","3","male",44,0,0,"STON/O 2. 3101269",7.925,"Sin camarote","S","40-49",0,0,1
"416","0","3","female",29.6991176470588,0,0,"343095",8.05,"Sin camarote","S","20-29",0,1,1
"417","1","2","female",34,1,1,"28220",32.5,"Sin camarote","S","30-39",0,1,3
"418","1","2","female",18,0,2,"250652",13,"Sin camarote","S","10-19",0,1,3
"419","0","2","male",30,0,0,"28228",13,"Sin camarote","S","20-29",0,0,1
"420","0","3","female",10,0,2,"345773",24.15,"Sin camarote","S","0-9",0,1,3
"421","0","3","male",29.6991176470588,0,0,"349254",7.8958,"Sin camarote","C","20-29",0,0,1
"422","0","3","male",21,0,0,"A/5. 13032",7.7333,"Sin camarote","Q","20-29",0,0,1
"423","0","3","male",29,0,0,"315082",7.875,"Sin camarote","S","20-29",0,0,1
"424","0","3","female",28,1,1,"347080",14.4,"Sin camarote","S","20-29",0,1,3
"425","0","3","male",18,1,1,"370129",20.2125,"Sin camarote","S","10-19",0,0,3
"426","0","3","male",29.6991176470588,0,0,"A/4. 34244",7.25,"Sin camarote","S","20-29",0,0,1
"427","1","2","female",28,1,0,"2003",26,"Sin camarote","S","20-29",0,1,2
"428","1","2","female",19,0,0,"250655",26,"Sin camarote","S","10-19",0,1,1
"429","0","3","male",29.6991176470588,0,0,"364851",7.75,"Sin camarote","Q","20-29",0,0,1
"430","1","3","male",32,0,0,"SOTON/O.Q. 392078",8.05,"E10","S","30-39",0,0,1
"431","1","1","male",28,0,0,"110564",26.55,"C52","S","20-29",1,0,1
"432","1","3","female",29.6991176470588,1,0,"376564",16.1,"Sin camarote","S","20-29",0,1,2
"433","1","2","female",42,1,0,"SC/AH 3085",26,"Sin camarote","S","40-49",0,1,2
"434","0","3","male",17,0,0,"STON/O 2. 3101274",7.125,"Sin camarote","S","10-19",0,0,1
"435","0","1","male",50,1,0,"13507",55.9,"E44","S","40-49",1,0,2
"436","1","1","female",14,1,2,"113760",32.0966808773903,"B96 B98","S","10-19",1,1,4
"437","0","3","female",21,2,2,"W./C. 6608",34.375,"Sin camarote","S","20-29",0,1,5
"438","1","2","female",24,2,3,"29106",18.75,"Sin camarote","S","20-29",0,1,6
"439","0","1","male",64,1,4,"19950",32.0966808773903,"C23 C25 C27","S","60-69",1,0,6
"440","0","2","male",31,0,0,"C.A. 18723",10.5,"Sin camarote","S","30-39",0,0,1
"441","1","2","female",45,1,1,"F.C.C. 13529",26.25,"Sin camarote","S","40-49",0,1,3
"442","0","3","male",20,0,0,"345769",9.5,"Sin camarote","S","10-19",0,0,1
"443","0","3","male",25,1,0,"347076",7.775,"Sin camarote","S","20-29",0,0,2
"444","1","2","female",28,0,0,"230434",13,"Sin camarote","S","20-29",0,1,1
"445","1","3","male",29.6991176470588,0,0,"65306",8.1125,"Sin camarote","S","20-29",0,0,1
"446","1","1","male",4,0,2,"33638",32.0966808773903,"A34","S","0-9",1,0,3
"447","1","2","female",13,0,1,"250644",19.5,"Sin camarote","S","10-19",0,1,2
"448","1","1","male",34,0,0,"113794",26.55,"Sin camarote","S","30-39",1,0,1
"449","1","3","female",5,2,1,"2666",19.2583,"Sin camarote","C","0-9",0,1,4
"450","1","1","male",52,0,0,"113786",30.5,"C104","S","50-59",1,0,1
"451","0","2","male",36,1,2,"C.A. 34651",27.75,"Sin camarote","S","30-39",0,0,4
"452","0","3","male",29.6991176470588,1,0,"65303",19.9667,"Sin camarote","S","20-29",0,0,2
"453","0","1","male",30,0,0,"113051",27.75,"C111","C","20-29",1,0,1
"454","1","1","male",49,1,0,"17453",32.0966808773903,"C92","C","40-49",1,0,2
"455","0","3","male",29.6991176470588,0,0,"A/5 2817",8.05,"Sin camarote","S","20-29",0,0,1
"456","1","3","male",29,0,0,"349240",7.8958,"Sin camarote","C","20-29",0,0,1
"457","0","1","male",65,0,0,"13509",26.55,"E38","S","60-69",1,0,1
"458","1","1","female",29.6991176470588,1,0,"17464",51.8625,"D21","S","20-29",1,1,2
"459","1","2","female",50,0,0,"F.C.C. 13531",10.5,"Sin camarote","S","40-49",0,1,1
"460","0","3","male",29.6991176470588,0,0,"371060",7.75,"Sin camarote","Q","20-29",0,0,1
"461","1","1","male",48,0,0,"19952",26.55,"E12","S","40-49",1,0,1
"462","0","3","male",34,0,0,"364506",8.05,"Sin camarote","S","30-39",0,0,1
"463","0","1","male",47,0,0,"111320",38.5,"E63","S","40-49",1,0,1
"464","0","2","male",48,0,0,"234360",13,"Sin camarote","S","40-49",0,0,1
"465","0","3","male",29.6991176470588,0,0,"A/S 2816",8.05,"Sin camarote","S","20-29",0,0,1
"466","0","3","male",38,0,0,"SOTON/O.Q. 3101306",7.05,"Sin camarote","S","30-39",0,0,1
"467","0","2","male",29.6991176470588,0,0,"239853",0,"Sin camarote","S","20-29",0,0,1
"468","0","1","male",56,0,0,"113792",26.55,"Sin camarote","S","50-59",1,0,1
"469","0","3","male",29.6991176470588,0,0,"36209",7.725,"Sin camarote","Q","20-29",0,0,1
"470","1","3","female",0.75,2,1,"2666",19.2583,"Sin camarote","C","0-9",0,1,4
"471","0","3","male",29.6991176470588,0,0,"323592",7.25,"Sin camarote","S","20-29",0,0,1
"472","0","3","male",38,0,0,"315089",8.6625,"Sin camarote","S","30-39",0,0,1
"473","1","2","female",33,1,2,"C.A. 34651",27.75,"Sin camarote","S","30-39",0,1,4
"474","1","2","female",23,0,0,"SC/AH Basle 541",13.7917,"D","C","20-29",0,1,1
"475","0","3","female",22,0,0,"7553",9.8375,"Sin camarote","S","20-29",0,1,1
"476","0","1","male",29.6991176470588,0,0,"110465",52,"A14","S","20-29",1,0,1
"477","0","2","male",34,1,0,"31027",21,"Sin camarote","S","30-39",0,0,2
"478","0","3","male",29,1,0,"3460",7.0458,"Sin camarote","S","20-29",0,0,2
"479","0","3","male",22,0,0,"350060",7.5208,"Sin camarote","S","20-29",0,0,1
"480","1","3","female",2,0,1,"3101298",12.2875,"Sin camarote","S","0-9",0,1,2
"481","0","3","male",9,5,2,"CA 2144",46.9,"Sin camarote","S","0-9",0,0,8
"482","0","2","male",29.6991176470588,0,0,"239854",0,"Sin camarote","S","20-29",0,0,1
"483","0","3","male",50,0,0,"A/5 3594",8.05,"Sin camarote","S","40-49",0,0,1
"484","1","3","female",63,0,0,"4134",9.5875,"Sin camarote","S","60-69",0,1,1
"485","1","1","male",25,1,0,"11967",32.0966808773903,"B49","C","20-29",1,0,2
"486","0","3","female",29.6991176470588,3,1,"4133",25.4667,"Sin camarote","S","20-29",0,1,5
"487","1","1","female",35,1,0,"19943",32.0966808773903,"C93","S","30-39",1,1,2
"488","0","1","male",58,0,0,"11771",29.7,"B37","C","50-59",1,0,1
"489","0","3","male",30,0,0,"A.5. 18509",8.05,"Sin camarote","S","20-29",0,0,1
"490","1","3","male",9,1,1,"C.A. 37671",15.9,"Sin camarote","S","0-9",0,0,3
"491","0","3","male",29.6991176470588,1,0,"65304",19.9667,"Sin camarote","S","20-29",0,0,2
"492","0","3","male",21,0,0,"SOTON/OQ 3101317",7.25,"Sin camarote","S","20-29",0,0,1
"493","0","1","male",55,0,0,"113787",30.5,"C30","S","50-59",1,0,1
"494","0","1","male",71,0,0,"PC 17609",49.5042,"Sin camarote","C","70-80",1,0,1
"495","0","3","male",21,0,0,"A/4 45380",8.05,"Sin camarote","S","20-29",0,0,1
"496","0","3","male",29.6991176470588,0,0,"2627",14.4583,"Sin camarote","C","20-29",0,0,1
"497","1","1","female",54,1,0,"36947",32.0966808773903,"D20","C","50-59",1,1,2
"498","0","3","male",29.6991176470588,0,0,"C.A. 6212",15.1,"Sin camarote","S","20-29",0,0,1
"499","0","1","female",25,1,2,"113781",32.0966808773903,"C22 C26","S","20-29",1,1,4
"500","0","3","male",24,0,0,"350035",7.7958,"Sin camarote","S","20-29",0,0,1
"501","0","3","male",17,0,0,"315086",8.6625,"Sin camarote","S","10-19",0,0,1
"502","0","3","female",21,0,0,"364846",7.75,"Sin camarote","Q","20-29",0,1,1
"503","0","3","female",29.6991176470588,0,0,"330909",7.6292,"Sin camarote","Q","20-29",0,1,1
"504","0","3","female",37,0,0,"4135",9.5875,"Sin camarote","S","30-39",0,1,1
"505","1","1","female",16,0,0,"110152",32.0966808773903,"B79","S","10-19",1,1,1
"506","0","1","male",18,1,0,"PC 17758",32.0966808773903,"C65","C","10-19",1,0,2
"507","1","2","female",33,0,2,"26360",26,"Sin camarote","S","30-39",0,1,3
"508","1","1","male",29.6991176470588,0,0,"111427",26.55,"Sin camarote","S","20-29",1,0,1
"509","0","3","male",28,0,0,"C 4001",22.525,"Sin camarote","S","20-29",0,0,1
"510","1","3","male",26,0,0,"1601",56.4958,"Sin camarote","S","20-29",0,0,1
"511","1","3","male",29,0,0,"382651",7.75,"Sin camarote","Q","20-29",0,0,1
"512","0","3","male",29.6991176470588,0,0,"SOTON/OQ 3101316",8.05,"Sin camarote","S","20-29",0,0,1
"513","1","1","male",36,0,0,"PC 17473",26.2875,"E25","S","30-39",1,0,1
"514","1","1","female",54,1,0,"PC 17603",59.4,"Sin camarote","C","50-59",1,1,2
"515","0","3","male",24,0,0,"349209",7.4958,"Sin camarote","S","20-29",0,0,1
"516","0","1","male",47,0,0,"36967",34.0208,"D46","S","40-49",1,0,1
"517","1","2","female",34,0,0,"C.A. 34260",10.5,"F33","S","30-39",0,1,1
"518","0","3","male",29.6991176470588,0,0,"371110",24.15,"Sin camarote","Q","20-29",0,0,1
"519","1","2","female",36,1,0,"226875",26,"Sin camarote","S","30-39",0,1,2
"520","0","3","male",32,0,0,"349242",7.8958,"Sin camarote","S","30-39",0,0,1
"521","1","1","female",30,0,0,"12749",32.0966808773903,"B73","S","20-29",1,1,1
"522","0","3","male",22,0,0,"349252",7.8958,"Sin camarote","S","20-29",0,0,1
"523","0","3","male",29.6991176470588,0,0,"2624",7.225,"Sin camarote","C","20-29",0,0,1
"524","1","1","female",44,0,1,"111361",57.9792,"B18","C","40-49",1,1,2
"525","0","3","male",29.6991176470588,0,0,"2700",7.2292,"Sin camarote","C","20-29",0,0,1
"526","0","3","male",40.5,0,0,"367232",7.75,"Sin camarote","Q","40-49",0,0,1
"527","1","2","female",50,0,0,"W./C. 14258",10.5,"Sin camarote","S","40-49",0,1,1
"528","0","1","male",29.6991176470588,0,0,"PC 17483",32.0966808773903,"C95","S","20-29",1,0,1
"529","0","3","male",39,0,0,"3101296",7.925,"Sin camarote","S","30-39",0,0,1
"530","0","2","male",23,2,1,"29104",11.5,"Sin camarote","S","20-29",0,0,4
"531","1","2","female",2,1,1,"26360",26,"Sin camarote","S","0-9",0,1,3
"532","0","3","male",29.6991176470588,0,0,"2641",7.2292,"Sin camarote","C","20-29",0,0,1
"533","0","3","male",17,1,1,"2690",7.2292,"Sin camarote","C","10-19",0,0,3
"534","1","3","female",29.6991176470588,0,2,"2668",22.3583,"Sin camarote","C","20-29",0,1,3
"535","0","3","female",30,0,0,"315084",8.6625,"Sin camarote","S","20-29",0,1,1
"536","1","2","female",7,0,2,"F.C.C. 13529",26.25,"Sin camarote","S","0-9",0,1,3
"537","0","1","male",45,0,0,"113050",26.55,"B38","S","40-49",1,0,1
"538","1","1","female",30,0,0,"PC 17761",32.0966808773903,"Sin camarote","C","20-29",1,1,1
"539","0","3","male",29.6991176470588,0,0,"364498",14.5,"Sin camarote","S","20-29",0,0,1
"540","1","1","female",22,0,2,"13568",49.5,"B39","C","20-29",1,1,3
"541","1","1","female",36,0,2,"WE/P 5735",32.0966808773903,"B22","S","30-39",1,1,3
"542","0","3","female",9,4,2,"347082",31.275,"Sin camarote","S","0-9",0,1,7
"543","0","3","female",11,4,2,"347082",31.275,"Sin camarote","S","10-19",0,1,7
"544","1","2","male",32,1,0,"2908",26,"Sin camarote","S","30-39",0,0,2
"545","0","1","male",50,1,0,"PC 17761",32.0966808773903,"C86","C","40-49",1,0,2
"546","0","1","male",64,0,0,"693",26,"Sin camarote","S","60-69",1,0,1
"547","1","2","female",19,1,0,"2908",26,"Sin camarote","S","10-19",0,1,2
"548","1","2","male",29.6991176470588,0,0,"SC/PARIS 2146",13.8625,"Sin camarote","C","20-29",0,0,1
"549","0","3","male",33,1,1,"363291",20.525,"Sin camarote","S","30-39",0,0,3
"550","1","2","male",8,1,1,"C.A. 33112",36.75,"Sin camarote","S","0-9",0,0,3
"551","1","1","male",17,0,2,"17421",32.0966808773903,"C70","C","10-19",1,0,3
"552","0","2","male",27,0,0,"244358",26,"Sin camarote","S","20-29",0,0,1
"553","0","3","male",29.6991176470588,0,0,"330979",7.8292,"Sin camarote","Q","20-29",0,0,1
"554","1","3","male",22,0,0,"2620",7.225,"Sin camarote","C","20-29",0,0,1
"555","1","3","female",22,0,0,"347085",7.775,"Sin camarote","S","20-29",0,1,1
"556","0","1","male",62,0,0,"113807",26.55,"Sin camarote","S","60-69",1,0,1
"557","1","1","female",48,1,0,"11755",39.6,"A16","C","40-49",1,1,2
"558","0","1","male",29.6991176470588,0,0,"PC 17757",32.0966808773903,"Sin camarote","C","20-29",1,0,1
"559","1","1","female",39,1,1,"110413",32.0966808773903,"E67","S","30-39",1,1,3
"560","1","3","female",36,1,0,"345572",17.4,"Sin camarote","S","30-39",0,1,2
"561","0","3","male",29.6991176470588,0,0,"372622",7.75,"Sin camarote","Q","20-29",0,0,1
"562","0","3","male",40,0,0,"349251",7.8958,"Sin camarote","S","30-39",0,0,1
"563","0","2","male",28,0,0,"218629",13.5,"Sin camarote","S","20-29",0,0,1
"564","0","3","male",29.6991176470588,0,0,"SOTON/OQ 392082",8.05,"Sin camarote","S","20-29",0,0,1
"565","0","3","female",29.6991176470588,0,0,"SOTON/O.Q. 392087",8.05,"Sin camarote","S","20-29",0,1,1
"566","0","3","male",24,2,0,"A/4 48871",24.15,"Sin camarote","S","20-29",0,0,3
"567","0","3","male",19,0,0,"349205",7.8958,"Sin camarote","S","10-19",0,0,1
"568","0","3","female",29,0,4,"349909",21.075,"Sin camarote","S","20-29",0,1,5
"569","0","3","male",29.6991176470588,0,0,"2686",7.2292,"Sin camarote","C","20-29",0,0,1
"570","1","3","male",32,0,0,"350417",7.8542,"Sin camarote","S","30-39",0,0,1
"571","1","2","male",62,0,0,"S.W./PP 752",10.5,"Sin camarote","S","60-69",0,0,1
"572","1","1","female",53,2,0,"11769",51.4792,"C101","S","50-59",1,1,3
"573","1","1","male",36,0,0,"PC 17474",26.3875,"E25","S","30-39",1,0,1
"574","1","3","female",29.6991176470588,0,0,"14312",7.75,"Sin camarote","Q","20-29",0,1,1
"575","0","3","male",16,0,0,"A/4. 20589",8.05,"Sin camarote","S","10-19",0,0,1
"576","0","3","male",19,0,0,"358585",14.5,"Sin camarote","S","10-19",0,0,1
"577","1","2","female",34,0,0,"243880",13,"Sin camarote","S","30-39",0,1,1
"578","1","1","female",39,1,0,"13507",55.9,"E44","S","30-39",1,1,2
"579","0","3","female",29.6991176470588,1,0,"2689",14.4583,"Sin camarote","C","20-29",0,1,2
"580","1","3","male",32,0,0,"STON/O 2. 3101286",7.925,"Sin camarote","S","30-39",0,0,1
"581","1","2","female",25,1,1,"237789",30,"Sin camarote","S","20-29",0,1,3
"582","1","1","female",39,1,1,"17421",32.0966808773903,"C68","C","30-39",1,1,3
"583","0","2","male",54,0,0,"28403",26,"Sin camarote","S","50-59",0,0,1
"584","0","1","male",36,0,0,"13049",40.125,"A10","C","30-39",1,0,1
"585","0","3","male",29.6991176470588,0,0,"3411",8.7125,"Sin camarote","C","20-29",0,0,1
"586","1","1","female",18,0,2,"110413",32.0966808773903,"E68","S","10-19",1,1,3
"587","0","2","male",47,0,0,"237565",15,"Sin camarote","S","40-49",0,0,1
"588","1","1","male",60,1,1,"13567",32.0966808773903,"B41","C","50-59",1,0,3
"589","0","3","male",22,0,0,"14973",8.05,"Sin camarote","S","20-29",0,0,1
"590","0","3","male",29.6991176470588,0,0,"A./5. 3235",8.05,"Sin camarote","S","20-29",0,0,1
"591","0","3","male",35,0,0,"STON/O 2. 3101273",7.125,"Sin camarote","S","30-39",0,0,1
"592","1","1","female",52,1,0,"36947",32.0966808773903,"D20","C","50-59",1,1,2
"593","0","3","male",47,0,0,"A/5 3902",7.25,"Sin camarote","S","40-49",0,0,1
"594","0","3","female",29.6991176470588,0,2,"364848",7.75,"Sin camarote","Q","20-29",0,1,3
"595","0","2","male",37,1,0,"SC/AH 29037",26,"Sin camarote","S","30-39",0,0,2
"596","0","3","male",36,1,1,"345773",24.15,"Sin camarote","S","30-39",0,0,3
"597","1","2","female",29.6991176470588,0,0,"248727",33,"Sin camarote","S","20-29",0,1,1
"598","0","3","male",49,0,0,"LINE",0,"Sin camarote","S","40-49",0,0,1
"599","0","3","male",29.6991176470588,0,0,"2664",7.225,"Sin camarote","C","20-29",0,0,1
"600","1","1","male",49,1,0,"PC 17485",56.9292,"A20","C","40-49",1,0,2
"601","1","2","female",24,2,1,"243847",27,"Sin camarote","S","20-29",0,1,4
"602","0","3","male",29.6991176470588,0,0,"349214",7.8958,"Sin camarote","S","20-29",0,0,1
"603","0","1","male",29.6991176470588,0,0,"113796",42.4,"Sin camarote","S","20-29",1,0,1
"604","0","3","male",44,0,0,"364511",8.05,"Sin camarote","S","40-49",0,0,1
"605","1","1","male",35,0,0,"111426",26.55,"Sin camarote","C","30-39",1,0,1
"606","0","3","male",36,1,0,"349910",15.55,"Sin camarote","S","30-39",0,0,2
"607","0","3","male",30,0,0,"349246",7.8958,"Sin camarote","S","20-29",0,0,1
"608","1","1","male",27,0,0,"113804",30.5,"Sin camarote","S","20-29",1,0,1
"609","1","2","female",22,1,2,"SC/Paris 2123",41.5792,"Sin camarote","C","20-29",0,1,4
"610","1","1","female",40,0,0,"PC 17582",32.0966808773903,"C125","S","30-39",1,1,1
"611","0","3","female",39,1,5,"347082",31.275,"Sin camarote","S","30-39",0,1,7
